IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG03785	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03786	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03787	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03788	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03789	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03790	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03792	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03793	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03794	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03796	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03797	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03799	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03800	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03802	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03803	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03805	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03806	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03808	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03809	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03812	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03814	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03815	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03817	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03821	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03823	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03824	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03826	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03829	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03830	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03832	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03833	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03836	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03837	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03838	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03844	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03846	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03848	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03849	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03850	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03851	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03854	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03856	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03857	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03858	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03861	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03862	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03863	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03864	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03866	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03867	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03868	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03869	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03870	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03871	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03872	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03873	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03874	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03875	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03882	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03884	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03885	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03886	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
