IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG03033	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03034	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03039	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03040	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03045	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03046	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03048	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03049	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03052	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03054	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03055	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03057	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03058	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03060	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03061	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03063	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03064	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03066	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03069	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03072	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03073	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03074	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03077	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03078	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03079	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03081	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03082	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03084	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03085	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03086	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03088	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03091	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03095	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03096	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03097	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03099	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03100	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03103	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03105	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03108	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03109	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03111	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03112	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03114	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03115	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03117	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03118	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03120	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03121	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03123	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03124	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03126	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03127	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03129	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03130	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03132	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03133	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03135	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03136	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03139	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03157	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03159	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03160	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03162	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03163	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03166	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03168	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03169	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03172	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03175	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03189	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03190	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03193	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03195	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03196	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03198	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03199	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03202	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03209	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03212	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03224	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03225	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03240	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03241	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03246	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03247	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03249	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03250	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03258	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03259	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03265	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
