IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG01527	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01528	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01530	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01531	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01536	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01537	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01602	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01603	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01605	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01606	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01607	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01608	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01610	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01612	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01613	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01615	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01617	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01618	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01619	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01620	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01623	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01624	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01625	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01626	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01628	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01630	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01631	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01632	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01668	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01669	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01670	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01672	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01673	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01675	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01676	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01678	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01679	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01680	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01682	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01684	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01685	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01686	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01694	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01695	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01697	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01699	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01700	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01702	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01704	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01705	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01707	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01708	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01709	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01710	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01746	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01747	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01756	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01757	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01761	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01762	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01765	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01766	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01767	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01768	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01770	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01771	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01773	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01775	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01776	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01777	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
