IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG01872	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01873	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01874	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG01878	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02016	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02017	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02019	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02020	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02023	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02025	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02026	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02028	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02029	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02031	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02032	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02035	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02040	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02047	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02048	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02049	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02050	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02057	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02058	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02060	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02061	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02064	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02067	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02069	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02070	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02072	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02073	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02075	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02076	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02078	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02079	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02081	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02082	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02084	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02085	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02086	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02087	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02088	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02113	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02116	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02121	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02122	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02127	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02128	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02130	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02131	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02133	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02134	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02136	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02137	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02138	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02139	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02140	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02141	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02142	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02151	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02152	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02153	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02154	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02155	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02156	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02164	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02165	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02166	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02178	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02179	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02180	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02181	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02182	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02184	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02185	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02186	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02187	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02188	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02190	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02250	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02351	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02353	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02355	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02356	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02360	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02364	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02367	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02371	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02373	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02374	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02375	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02379	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02380	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02382	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02383	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02384	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02385	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02386	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02389	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
