IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG01432	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01435	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01437	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01438	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01440	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01441	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01443	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01444	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01447	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01455	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01456	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01459	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01461	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01462	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01464	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01465	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01468	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01474	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01479	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01485	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01486	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01488	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01489	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01491	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01492	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01494	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01495	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01497	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01498	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01550	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01551	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01556	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01565	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01566	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01571	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01572	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01577	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01578	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01892	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01893	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01917	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01918	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01920	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01921	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01923	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01924	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01926	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01927	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01932	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01933	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01935	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
